YOUR HASH: fb1dc9
YOUR NAME: Gurbir Arora
YOUR UID: 105178554

################### 1 ################### 
-- HEAP TRAVERSAL --
0x7f7cd0d7a020: header: [24:a] footer: [24:a]
0x7f7cd0d7a038: header: [120:a] footer: [120:a]
0x7f7cd0d7a0b0: header: [24:a] footer: [24:a]
0x7f7cd0d7a0c8: header: [120:a] footer: [120:a]
0x7f7cd0d7a140: header: [24:a] footer: [24:a]
0x7f7cd0d7a158: header: [120:a] footer: [120:a]
0x7f7cd0d7a1d0: header: [24:a] footer: [24:a]
0x7f7cd0d7a1e8: header: [120:a] footer: [120:a]
0x7f7cd0d7a260: header: [24:a] footer: [24:a]
0x7f7cd0d7a278: header: [120:a] footer: [120:a]
0x7f7cd0d7a2f0: header: [24:a] footer: [24:a]
0x7f7cd0d7a308: header: [120:a] footer: [120:a]
0x7f7cd0d7a380: header: [24:a] footer: [24:a]
0x7f7cd0d7a398: header: [120:a] footer: [120:a]
0x7f7cd0d7a410: header: [24:a] footer: [24:a]
0x7f7cd0d7a428: header: [120:a] footer: [120:a]
0x7f7cd0d7a4a0: header: [24:a] footer: [24:a]
0x7f7cd0d7a4b8: header: [120:a] footer: [120:a]
0x7f7cd0d7a530: header: [24:a] footer: [24:a]
0x7f7cd0d7a548: header: [120:a] footer: [120:a]
0x7f7cd0d7a5c0: header: [24:a] footer: [24:a]
0x7f7cd0d7a5d8: header: [120:a] footer: [120:a]
0x7f7cd0d7a650: header: [24:a] footer: [24:a]
0x7f7cd0d7a668: header: [120:a] footer: [120:a]
0x7f7cd0d7a6e0: header: [24:a] footer: [24:a]
0x7f7cd0d7a6f8: header: [120:a] footer: [120:a]
0x7f7cd0d7a770: header: [24:a] footer: [24:a]
0x7f7cd0d7a788: header: [120:a] footer: [120:a]
0x7f7cd0d7a800: header: [24:a] footer: [24:a]
0x7f7cd0d7a818: header: [120:a] footer: [120:a]
0x7f7cd0d7a890: header: [24:a] footer: [24:a]
0x7f7cd0d7a8a8: header: [120:a] footer: [120:a]
0x7f7cd0d7a920: header: [24:a] footer: [24:a]
0x7f7cd0d7a938: header: [120:a] footer: [120:a]
0x7f7cd0d7a9b0: header: [24:a] footer: [24:a]
0x7f7cd0d7a9c8: header: [120:a] footer: [120:a]
0x7f7cd0d7aa40: header: [24:a] footer: [24:a]
0x7f7cd0d7aa58: header: [120:a] footer: [120:a]
0x7f7cd0d7aad0: header: [24:a] footer: [24:a]
0x7f7cd0d7aae8: header: [120:a] footer: [120:a]
0x7f7cd0d7ab60: header: [24:a] footer: [24:a]
0x7f7cd0d7ab78: header: [120:a] footer: [120:a]
0x7f7cd0d7abf0: header: [24:a] footer: [24:a]
0x7f7cd0d7ac08: header: [120:a] footer: [120:a]
0x7f7cd0d7ac80: header: [24:a] footer: [24:a]
0x7f7cd0d7ac98: header: [120:a] footer: [120:a]
0x7f7cd0d7ad10: header: [24:a] footer: [24:a]
0x7f7cd0d7ad28: header: [120:a] footer: [120:a]
0x7f7cd0d7ada0: header: [24:a] footer: [24:a]
0x7f7cd0d7adb8: header: [120:a] footer: [120:a]
0x7f7cd0d7ae30: header: [24:a] footer: [24:a]
0x7f7cd0d7ae48: header: [120:a] footer: [120:a]
0x7f7cd0d7aec0: header: [24:a] footer: [24:a]
0x7f7cd0d7aed8: header: [120:a] footer: [120:a]
0x7f7cd0d7af50: header: [24:a] footer: [24:a]
0x7f7cd0d7af68: header: [120:a] footer: [120:a]
0x7f7cd0d7afe0: header: [24:a] footer: [24:a]
0x7f7cd0d7aff8: header: [120:a] footer: [120:a]
0x7f7cd0d7b070: header: [24:a] footer: [24:a]
0x7f7cd0d7b088: header: [120:a] footer: [120:a]
0x7f7cd0d7b100: header: [24:a] footer: [24:a]
0x7f7cd0d7b118: header: [120:a] footer: [120:a]
0x7f7cd0d7b190: header: [24:a] footer: [24:a]
0x7f7cd0d7b1a8: header: [120:a] footer: [120:a]
0x7f7cd0d7b220: header: [24:a] footer: [24:a]
0x7f7cd0d7b238: header: [120:a] footer: [120:a]
0x7f7cd0d7b2b0: header: [24:a] footer: [24:a]
0x7f7cd0d7b2c8: header: [120:a] footer: [120:a]
0x7f7cd0d7b340: header: [24:a] footer: [24:a]
0x7f7cd0d7b358: header: [120:a] footer: [120:a]
0x7f7cd0d7b3d0: header: [24:a] footer: [24:a]
0x7f7cd0d7b3e8: header: [120:a] footer: [120:a]
0x7f7cd0d7b460: header: [24:a] footer: [24:a]
0x7f7cd0d7b478: header: [120:a] footer: [120:a]
0x7f7cd0d7b4f0: header: [24:a] footer: [24:a]
0x7f7cd0d7b508: header: [120:a] footer: [120:a]
0x7f7cd0d7b580: header: [24:a] footer: [24:a]
0x7f7cd0d7b598: header: [120:a] footer: [120:a]
0x7f7cd0d7b610: header: [24:a] footer: [24:a]
0x7f7cd0d7b628: header: [120:a] footer: [120:a]
0x7f7cd0d7b6a0: header: [24:a] footer: [24:a]
0x7f7cd0d7b6b8: header: [120:a] footer: [120:a]
0x7f7cd0d7b730: header: [24:a] footer: [24:a]
0x7f7cd0d7b748: header: [120:a] footer: [120:a]
0x7f7cd0d7b7c0: header: [24:a] footer: [24:a]
0x7f7cd0d7b7d8: header: [120:a] footer: [120:a]
0x7f7cd0d7b850: header: [24:a] footer: [24:a]
0x7f7cd0d7b868: header: [120:a] footer: [120:a]
0x7f7cd0d7b8e0: header: [24:a] footer: [24:a]
0x7f7cd0d7b8f8: header: [120:a] footer: [120:a]
0x7f7cd0d7b970: header: [24:a] footer: [24:a]
0x7f7cd0d7b988: header: [120:a] footer: [120:a]
0x7f7cd0d7ba00: header: [24:a] footer: [24:a]
0x7f7cd0d7ba18: header: [120:a] footer: [120:a]
0x7f7cd0d7ba90: header: [24:a] footer: [24:a]
0x7f7cd0d7baa8: header: [120:a] footer: [120:a]
0x7f7cd0d7bb20: header: [24:a] footer: [24:a]
0x7f7cd0d7bb38: header: [120:a] footer: [120:a]
0x7f7cd0d7bbb0: header: [24:a] footer: [24:a]
0x7f7cd0d7bbc8: header: [120:a] footer: [120:a]
0x7f7cd0d7bc40: header: [24:a] footer: [24:a]
0x7f7cd0d7bc58: header: [120:a] footer: [120:a]
0x7f7cd0d7bcd0: header: [24:a] footer: [24:a]
0x7f7cd0d7bce8: header: [120:a] footer: [120:a]
0x7f7cd0d7bd60: header: [24:a] footer: [24:a]
0x7f7cd0d7bd78: header: [120:a] footer: [120:a]
0x7f7cd0d7bdf0: header: [24:a] footer: [24:a]
0x7f7cd0d7be08: header: [120:a] footer: [120:a]
0x7f7cd0d7be80: header: [24:a] footer: [24:a]
0x7f7cd0d7be98: header: [120:a] footer: [120:a]
0x7f7cd0d7bf10: header: [24:a] footer: [24:a]
0x7f7cd0d7bf28: header: [120:a] footer: [120:a]
0x7f7cd0d7bfa0: header: [24:a] footer: [24:a]
0x7f7cd0d7bfb8: header: [120:a] footer: [120:a]
0x7f7cd0d7c030: header: [24:a] footer: [24:a]
0x7f7cd0d7c048: header: [120:a] footer: [120:a]
0x7f7cd0d7c0c0: header: [24:a] footer: [24:a]
0x7f7cd0d7c0d8: header: [120:a] footer: [120:a]
0x7f7cd0d7c150: header: [24:a] footer: [24:a]
0x7f7cd0d7c168: header: [120:a] footer: [120:a]
0x7f7cd0d7c1e0: header: [24:a] footer: [24:a]
0x7f7cd0d7c1f8: header: [120:a] footer: [120:a]
0x7f7cd0d7c270: header: [24:a] footer: [24:a]
0x7f7cd0d7c288: header: [120:a] footer: [120:a]
0x7f7cd0d7c300: header: [24:a] footer: [24:a]
0x7f7cd0d7c318: header: [120:a] footer: [120:a]
0x7f7cd0d7c390: header: [24:a] footer: [24:a]
0x7f7cd0d7c3a8: header: [120:a] footer: [120:a]
0x7f7cd0d7c420: header: [24:a] footer: [24:a]
0x7f7cd0d7c438: header: [120:a] footer: [120:a]
0x7f7cd0d7c4b0: header: [24:a] footer: [24:a]
0x7f7cd0d7c4c8: header: [120:a] footer: [120:a]
0x7f7cd0d7c540: header: [24:a] footer: [24:a]
0x7f7cd0d7c558: header: [120:a] footer: [120:a]
0x7f7cd0d7c5d0: header: [24:a] footer: [24:a]
0x7f7cd0d7c5e8: header: [120:a] footer: [120:a]
0x7f7cd0d7c660: header: [24:a] footer: [24:a]
0x7f7cd0d7c678: header: [120:a] footer: [120:a]
0x7f7cd0d7c6f0: header: [24:a] footer: [24:a]
0x7f7cd0d7c708: header: [120:a] footer: [120:a]
0x7f7cd0d7c780: header: [24:a] footer: [24:a]
0x7f7cd0d7c798: header: [120:a] footer: [120:a]
0x7f7cd0d7c810: header: [24:a] footer: [24:a]
0x7f7cd0d7c828: header: [120:a] footer: [120:a]
0x7f7cd0d7c8a0: header: [24:a] footer: [24:a]
0x7f7cd0d7c8b8: header: [120:a] footer: [120:a]
0x7f7cd0d7c930: header: [24:a] footer: [24:a]
0x7f7cd0d7c948: header: [120:a] footer: [120:a]
0x7f7cd0d7c9c0: header: [24:a] footer: [24:a]
0x7f7cd0d7c9d8: header: [120:a] footer: [120:a]
